,,# Tareas,,,SVM
1120.999,1616.356,178,16,-495.357,44
1103.097,1291.4,179,16,-188.303,17
1118.778,1705.748,180,16,-586.97,52
1091.171,1565.422,181,16,-474.251,43
1166.823,1643.517,182,16,-476.694,41
1127.263,1564.403,183,16,-437.14,39
1118.748,1597.384,184,16,-478.636,43
1142.864,1539.55,185,16,-396.686,35
1162.688,1655.826,186,16,-493.138,42
1156.065,1462.789,187,16,-306.724,27
1159.006,1607.743,188,16,-448.737,39
1155.565,1613.283,189,16,-457.718,40
1166.532,1547.579,190,16,-381.047,33
1183.843,1619.095,191,16,-435.252,37
1183.792,1624.726,192,16,-440.934,37
1198.202,1802.717,193,16,-604.515,50
1179.848,1572.371,194,16,-392.523,33
1169.357,1520.79,195,16,-351.433,30
1159.709,1683.397,196,16,-523.688,45
1147.035,1453.294,197,16,-306.259,27
1197.298,1659.226,198,16,-461.928,39
1214.971,1582.143,199,16,-367.172,30
1203.202,1619.989,200,16,-416.787,35
1239.755,1605.153,201,16,-365.398,29
1264.866,1732.654,202,16,-467.788,37
1224.16,1724.01,203,16,-499.85,41
1261.291,1787.802,204,16,-526.511,42
1231.166,1657.69,205,16,-426.524,35
1261.184,1790.601,206,16,-529.417,42
1266.901,2098.386,207,16,-831.485,66
1276.755,1736.902,208,16,-460.147,36
1224.969,1891.728,209,16,-666.759,54
1280.489,1828.937,210,16,-548.448,43
1321.162,1697.952,211,16,-376.79,29
1304.008,1736.505,212,16,-432.497,33
1311.121,1763.309,213,16,-452.188,34
1299.989,1701.981,214,16,-401.992,31
1325.685,1906.397,215,16,-580.712,44
1251.699,1672.283,216,16,-420.584,34
1348.309,1842.371,217,16,-494.062,37
1326.793,1784.259,218,16,-457.466,34
1352.439,1778.556,219,16,-426.117,32
1322.208,1822.963,220,16,-500.755,38
1306.812,1747.812,221,16,-441,34
1307.519,1797.316,222,16,-489.797,37
1316.517,1757.133,223,16,-440.616,33
1303.81,1691.746,224,16,-387.936,30
1343.464,1790.801,225,16,-447.337,33
1393.173,1786.895,226,16,-393.722,28
1378.759,1781.708,227,16,-402.949,29
1383.85,1897.501,228,16,-513.651,37
1358.085,1763.348,229,16,-405.263,30
1354.918,1846.263,230,16,-491.345,36
1314.711,1777.364,231,16,-462.653,35
1330.758,1827.239,232,16,-496.481,37
1378.569,2044.364,233,16,-665.795,48
1335.91,1999.113,234,16,-663.203,50
1416.742,2073.128,235,16,-656.386,46
1380.255,1936.669,236,16,-556.414,40
1405.414,2082.833,237,16,-677.419,48
1446.578,1970.594,238,16,-524.016,36
1381.558,1807.233,239,16,-425.675,31
1406.47,1850.166,240,16,-443.696,32
1402.312,2098.406,241,16,-696.094,50
1388.169,1907.305,242,16,-519.136,37
1436.98,1992.185,243,16,-555.205,39
1414.705,1975.399,244,16,-560.694,40
1476.562,1994.891,245,16,-518.329,35
1439.861,1984.42,246,16,-544.559,38
1420.032,2121.2,247,16,-701.168,49
1349.547,1967.818,248,16,-618.271,46
1443.537,2032.308,249,16,-588.771,41
1456.407,1940.889,250,16,-484.482,33
1441.086,1853.899,251,16,-412.813,29
1457.213,2051.115,252,16,-593.902,41
1449.774,1911.411,253,16,-461.637,32
1452.366,1963.261,254,16,-510.895,35
1505.206,2186.725,255,16,-681.519,45
1517.968,1974.367,256,16,-456.399,30
1513.086,2066.408,257,16,-553.322,37
1508.246,2203.619,258,16,-695.373,46
1481.804,2035.015,259,16,-553.211,37
1479.796,2010.493,260,16,-530.697,36
1538.889,2076.312,261,16,-537.423,35
1535.021,2114.073,262,16,-579.052,38
1509.047,1969.321,263,16,-460.274,31
1497.934,1977.533,264,16,-479.599,32
1496.633,2034.222,265,16,-537.589,36
1572.628,2244.035,266,16,-671.407,43
1561.777,2335.114,267,16,-773.337,50
1533.957,2004.689,268,16,-470.732,31
1565.944,2057.177,269,16,-491.233,31
1526.121,2085.034,270,16,-558.913,37
1541.258,2157.486,271,16,-616.228,40
1554.71,2133.457,272,16,-578.747,37
1594.3,2153.461,273,16,-559.161,35
1514.748,1967.926,274,16,-453.178,30
1612.29,2128.746,275,16,-516.456,32
1592.332,2050.861,276,16,-458.529,29
1626.101,2107.541,277,16,-481.44,30
1585.794,2264.555,278,16,-678.761,43
1588.116,2117.587,279,16,-529.471,33
1552.611,2246.98,280,16,-694.369,45
1584.132,2112.323,281,16,-528.191,33
1616.445,2275.952,282,16,-659.507,41
1586.472,2077.858,283,16,-491.386,31
1690.106,2315.063,284,16,-624.957,37
1595.678,2195.378,285,16,-599.7,38
1691.771,2266.943,286,16,-575.172,34
1624.084,2278.143,287,16,-654.059,40
1667.908,2484.999,288,16,-817.091,49
1670.368,2195.932,289,16,-525.564,31
1692.308,2213.014,290,16,-520.706,31
1689.114,2239.984,291,16,-550.87,33
1644.866,2119.413,292,16,-474.547,29
1726.223,2440.389,293,16,-714.166,41
1723.997,2300.346,294,16,-576.349,33
1710.557,2364.641,295,16,-654.084,38
1683.763,2085.582,296,16,-401.819,24
1678.665,2140.124,297,16,-461.459,27
1735.911,2411.776,298,16,-675.865,39
1686.052,2207.187,299,16,-521.135,31
1667.513,2261.327,300,16,-593.814,36
1721.563,2412.999,301,16,-691.436,40
1747.232,2254.935,302,16,-507.703,29
1723.364,2317.712,303,16,-594.348,34
1672.14,2306.409,304,16,-634.269,38
1736.445,2482.082,305,16,-745.637,43
1762.091,2288.476,306,16,-526.385,30
1776.605,2265.418,307,16,-488.813,28
1739.087,2365.16,308,16,-626.073,36
1763.291,2273.682,309,16,-510.391,29
1722.684,2284.353,310,16,-561.669,33
1712.007,2410.551,311,16,-698.544,41
1786.018,2488.316,312,16,-702.298,39
1751.382,2095.444,313,16,-344.062,20
1830.963,2741.964,314,16,-911.001,50
1767.288,2350.051,315,16,-582.763,33
1732.196,2521.897,316,16,-789.701,46
1778.808,2381.013,317,16,-602.205,34
1776.946,2519.486,318,16,-742.54,42
1837.876,2232.882,319,16,-395.006,21
1761.227,2562.177,320,16,-800.95,45
1787.428,2315.288,321,16,-527.86,30
1842.098,2457.301,322,16,-615.203,33
1850.52,2380.323,323,16,-529.803,29
1844.3,2427.706,324,16,-583.406,32
1857.671,2470.894,325,16,-613.223,33
1875.948,2446.777,326,16,-570.829,30
1887.968,2567.174,327,16,-679.206,36
1864.875,2528.512,328,16,-663.637,36
1782.303,2357.416,329,16,-575.113,32
1789.757,2282.509,330,16,-492.752,28
1857.981,2479.056,331,16,-621.075,33
1866.777,2557.559,332,16,-690.782,37
1894.252,2550.871,333,16,-656.619,35
1898.42,2406.376,334,16,-507.956,27
1898.78,2685.94,335,16,-787.16,41
1826.778,2498.687,336,16,-671.909,37
1833.721,2618.57,337,16,-784.849,43
1952.978,2625.227,338,16,-672.249,34
1889.096,2448.959,339,16,-559.863,30
1923.069,2950.879,340,16,-1027.81,53
1918.325,2592.807,341,16,-674.482,35
1892.672,2536.798,342,16,-644.126,34
1927.551,2512.207,343,16,-584.656,30
1916.454,2644.138,344,16,-727.684,38
1911.626,2592.283,345,16,-680.657,36
1951.981,2580.936,346,16,-628.955,32
1923.14,2600.098,347,16,-676.958,35
1915.538,2575.39,348,16,-659.852,34
1997.706,2621.724,349,16,-624.018,31
1976.193,2769.917,350,16,-793.724,40
1976.549,2456.307,351,16,-479.758,24
1989.092,2827.99,352,16,-838.898,42
1974.666,2688.407,353,16,-713.741,36
2031.769,2693.697,354,16,-661.928,33
1905.434,2519.46,355,16,-614.026,32
1982.717,2639.709,356,16,-656.992,33
1971.946,2615.369,357,16,-643.423,33
2030.674,2552.604,358,16,-521.93,26
2019.782,2686.598,359,16,-666.816,33
2011.251,2611.489,360,16,-600.238,30
1993.952,2688.25,361,16,-694.298,35
1955.978,2671.77,362,16,-715.792,37
1976.269,2652.21,363,16,-675.941,34
2056.327,2839.516,364,16,-783.189,38
2050.657,2577.561,365,16,-526.904,26
2019.336,2996.412,366,16,-977.076,48
1954.474,2637.284,367,16,-682.81,35
2039.62,2603.82,368,16,-564.2,28
2081.258,2885.374,369,16,-804.116,39
1999.507,2571.112,370,16,-571.605,29
2087.286,2759.111,371,16,-671.825,32
1979.998,2677.154,372,16,-697.156,35
2065.693,2860.979,373,16,-795.286,38
2090.078,2822.066,374,16,-731.988,35
2094.128,2623.949,375,16,-529.821,25
2103.515,2659.796,376,16,-556.281,26
2079.742,2822.399,377,16,-742.657,36
2064.925,2877.042,378,16,-812.117,39
2081.512,2855.192,379,16,-773.68,37
2165.022,2963.134,380,16,-798.112,37
2131.517,3037.918,381,16,-906.401,43
2072.253,2539.466,382,16,-467.213,23
2088.846,2706.034,383,16,-617.188,30
2104.509,2888.344,384,16,-783.835,37
2135.857,2853.82,385,16,-717.963,34
2140.86,2840.244,386,16,-699.384,33
2073.275,2639.151,387,16,-565.876,27
2182.551,2956.001,388,16,-773.45,35
2155.585,2861.242,389,16,-705.657,33
2132.824,2832.639,390,16,-699.815,33
2193.338,3004.702,391,16,-811.364,37
2160.407,2782.839,392,16,-622.432,29
2113.07,2992.617,393,16,-879.547,42
2194.768,3057.099,394,16,-862.331,39
2218.226,2963.295,395,16,-745.069,34
2162.828,3017.196,396,16,-854.368,40
2136.082,2723.138,397,16,-587.056,27
2220.677,2767.093,398,16,-546.416,25
2182.351,2704.157,399,16,-521.806,24
2132.5,2806.614,400,16,-674.114,32
2250.45,3166.787,401,16,-916.337,41
2244.588,3034.897,402,16,-790.309,35
2200.423,2947.847,403,16,-747.424,34
2261.427,3116.179,404,16,-854.752,38
2203.033,2836.324,405,16,-633.291,29
2244.9,3185.117,406,16,-940.217,42
2265.114,3146.432,407,16,-881.318,39
2252.106,2879.103,408,16,-626.997,28
2228.589,2849.775,409,16,-621.186,28
2236.581,2976.642,410,16,-740.061,33
2240.834,3077.075,411,16,-836.241,37
2267.611,3116.574,412,16,-848.963,37
2241.643,3059.524,413,16,-817.881,36
2341.693,2993.478,414,16,-651.785,28
