Esperado,Obtenido,# Tareas,,,ANN
1120.999,1690.032,178,16,-569.033,51
1103.097,1566.257,179,16,-463.16,42
1118.778,1800.468,180,16,-681.69,61
1091.171,1851.384,181,16,-760.213,70
1166.823,1760.666,182,16,-593.843,51
1127.263,1706.838,183,16,-579.575,51
1118.748,1721.327,184,16,-602.579,54
1142.864,1930.052,185,16,-787.188,69
1162.688,1849.534,186,16,-686.846,59
1156.065,1779.715,187,16,-623.65,54
1159.006,1906.473,188,16,-747.467,64
1155.565,1829.813,189,16,-674.248,58
1166.532,1739.777,190,16,-573.245,49
1183.843,1958.184,191,16,-774.341,65
1183.792,2066.16,192,16,-882.368,75
1198.202,1990.973,193,16,-792.771,66
1179.848,1658.821,194,16,-478.973,41
1169.357,1684.084,195,16,-514.727,44
1159.709,1840.777,196,16,-681.068,59
1147.035,1549.686,197,16,-402.651,35
1197.298,1792.736,198,16,-595.438,50
1214.971,1929.523,199,16,-714.552,59
1203.202,1781.111,200,16,-577.909,48
1239.755,1782.14,201,16,-542.385,44
1264.866,1848.818,202,16,-583.952,46
1224.16,1722.149,203,16,-497.989,41
1261.291,1951.575,204,16,-690.284,55
1231.166,1892.566,205,16,-661.4,54
1261.184,2055.478,206,16,-794.294,63
1266.901,2056.05,207,16,-789.149,62
1276.755,1981.749,208,16,-704.994,55
1224.969,1863.552,209,16,-638.583,52
1280.489,2075.871,210,16,-795.382,62
1321.162,1949.684,211,16,-628.522,48
1304.008,1888.545,212,16,-584.537,45
1311.121,2186.947,213,16,-875.826,67
1299.989,1721.181,214,16,-421.192,32
1325.685,2240.495,215,16,-914.81,69
1251.699,1832.36,216,16,-580.661,46
1348.309,1919.76,217,16,-571.451,42
1326.793,2102.57,218,16,-775.777,58
1352.439,2054.861,219,16,-702.422,52
1322.208,1829.374,220,16,-507.166,38
1306.812,1877.788,221,16,-570.976,44
1307.519,1864.128,222,16,-556.609,43
1316.517,2035.82,223,16,-719.303,55
1303.81,1856.12,224,16,-552.31,42
1343.464,1995.85,225,16,-652.386,49
1393.173,1920.032,226,16,-526.859,38
1378.759,2146.508,227,16,-767.749,56
1383.85,2088.233,228,16,-704.383,51
1358.085,2106.287,229,16,-748.202,55
1354.918,2173.355,230,16,-818.437,60
1314.711,1945.229,231,16,-630.518,48
1330.758,2049.171,232,16,-718.413,54
1378.569,2528.14,233,16,-1149.571,83
1335.91,2244.331,234,16,-908.421,68
1416.742,1966.461,235,16,-549.719,39
1380.255,2074.084,236,16,-693.829,50
1405.414,1954.481,237,16,-549.067,39
1446.578,2286.088,238,16,-839.51,58
1381.558,2104.956,239,16,-723.398,52
1406.47,1924.912,240,16,-518.442,37
1402.312,2168.382,241,16,-766.07,55
1388.169,2167.942,242,16,-779.773,56
1436.98,2127.395,243,16,-690.415,48
1414.705,2258.066,244,16,-843.361,60
1476.562,2385.202,245,16,-908.64,62
1439.861,1909.981,246,16,-470.12,33
1420.032,1959.696,247,16,-539.664,38
1349.547,2002.823,248,16,-653.276,48
1443.537,2006.604,249,16,-563.067,39
1456.407,1985.165,250,16,-528.758,36
1441.086,2179.342,251,16,-738.256,51
1457.213,2060.271,252,16,-603.058,41
1449.774,1954.323,253,16,-504.549,35
1452.366,2346.683,254,16,-894.317,62
1505.206,2251.669,255,16,-746.463,50
1517.968,2305.23,256,16,-787.262,52
1513.086,2342.472,257,16,-829.386,55
