Esperado,Obtenido,,,,ANN
8735.726,9967.515,259,4,-1231.789,14
8927.429,10018.741,260,4,-1091.312,12
8906.941,9603.758,261,4,-696.817,8
8807.143,9810.931,262,4,-1003.788,11
8948.06,10080.327,263,4,-1132.267,13
9181.7,10425.637,264,4,-1243.937,14
8997.13,10217.825,265,4,-1220.695,14
9129.169,10692.998,266,4,-1563.829,17
9212.266,10350.405,267,4,-1138.139,12
9261.151,11099.541,268,4,-1838.39,20
9060.247,10176.412,269,4,-1116.165,12
9270.501,10639.215,270,4,-1368.714,15
9249.902,10333.552,271,4,-1083.65,12
9323.279,10167.098,272,4,-843.819,9
9063.004,10180.514,273,4,-1117.51,12
9489.83,10734.813,274,4,-1244.983,13
9298.889,10756.326,275,4,-1457.437,16
9354.452,10384.545,276,4,-1030.093,11
9237.195,10230.157,277,4,-992.962,11
9691.858,10687.287,278,4,-995.429,10
9505.585,11115.07,279,4,-1609.485,17
9410.489,10629.32,280,4,-1218.831,13
9318.31,10573.874,281,4,-1255.564,13
9410.084,10744.41,282,4,-1334.326,14
9646.333,11559.778,283,4,-1913.445,20
10085.385,10993.601,284,4,-908.216,9
9744.242,10893.847,285,4,-1149.605,12
9798.107,10772.006,286,4,-973.899,10
10006.972,11289.907,287,4,-1282.935,13
10217.808,11733.241,288,4,-1515.433,15
9705.185,10809.965,289,4,-1104.78,11
9771.028,11092.994,290,4,-1321.966,14
9872.001,11042.829,291,4,-1170.828,12
10053.438,11380.102,292,4,-1326.664,13
10169.707,11517.085,293,4,-1347.378,13
10214.211,11796.313,294,4,-1582.102,15
10088.981,11134.791,295,4,-1045.81,10
9741.341,10972.685,296,4,-1231.344,13
9767.512,10876.611,297,4,-1109.099,11
10302.485,12071.667,298,4,-1769.182,17
10249.07,11616.007,299,4,-1366.937,13
10245.348,11065.332,300,4,-819.984,8
10068.908,11494.935,301,4,-1426.027,14
10466.274,12048.235,302,4,-1581.961,15
10407.002,11574.369,303,4,-1167.367,11
10280.495,11688.287,304,4,-1407.792,14
10323.083,11622.544,305,4,-1299.461,13
10306.746,11746.779,306,4,-1440.033,14
10641.914,11956.027,307,4,-1314.113,12
10533.482,11678.868,308,4,-1145.386,11
