,,,,,SVM
5137.774,5990.733,158,4,-852.959,17
5797.777,6665.719,159,4,-867.942,15
5451.831,6209.356,160,4,-757.525,14
5533.281,7029.67,161,4,-1496.389,27
5520.597,6542.672,162,4,-1022.075,19
5470.683,6451.249,163,4,-980.566,18
5759.861,7186.559,164,4,-1426.698,25
5797.382,6960.562,165,4,-1163.18,20
5852.247,6569.876,166,4,-717.629,12
5596.391,6629.862,167,4,-1033.471,18
6009.139,6753.078,168,4,-743.939,12
5899.25,6850.384,169,4,-951.134,16
5922.003,6903.796,170,4,-981.793,17
5987.906,6686.134,171,4,-698.228,12
6222.937,7292.489,172,4,-1069.552,17
5915.465,6751.344,173,4,-835.879,14
6291.545,7215.271,174,4,-923.726,15
5856.984,6901.911,175,4,-1044.927,18
6154.866,7083.39,176,4,-928.524,15
6125.803,7079.8,177,4,-953.997,16
6455.342,7265.995,178,4,-810.653,13
6360,7623.436,179,4,-1263.436,20
6097.682,7220.127,180,4,-1122.445,18
6392.156,7286.505,181,4,-894.349,14
6559.363,7503.851,182,4,-944.488,14
6414.073,7363.492,183,4,-949.419,15
6505.031,7481.015,184,4,-975.984,15
6623.074,7701.692,185,4,-1078.618,16
6432.474,7365.44,186,4,-932.966,15
6312.693,7500.637,187,4,-1187.944,19
6335.972,7445.006,188,4,-1109.034,18
6779.345,8203.959,189,4,-1424.614,21
6667.08,7576.481,190,4,-909.401,14
6466.474,7226.336,191,4,-759.862,12
6593.568,7752.513,192,4,-1158.945,18
6511.465,7292.019,193,4,-780.554,12
6694.455,7846.435,194,4,-1151.98,17
6869.532,8040.244,195,4,-1170.712,17
6907.485,7949.207,196,4,-1041.722,15
6736.689,8257.218,197,4,-1520.529,23
6647.089,7991.128,198,4,-1344.039,20
6867.762,8106.101,199,4,-1238.339,18
7058.979,7887.44,200,4,-828.461,12
6825.446,8013.167,201,4,-1187.721,17
6957.014,8180.553,202,4,-1223.539,18
7073.877,8555.796,203,4,-1481.919,21
7295.293,8468.358,204,4,-1173.065,16
7147.944,8255.786,205,4,-1107.842,15
6871.32,7998.424,206,4,-1127.104,16
7299.134,8491.767,207,4,-1192.633,16
6877.519,8010.143,208,4,-1132.624,16
7481.986,8745.216,209,4,-1263.23,17
7199.828,8403.87,210,4,-1204.042,17
7294.849,8350.634,211,4,-1055.785,14
7297.01,8478.018,212,4,-1181.008,16
7196.991,8546.172,213,4,-1349.181,19
7516.462,8552.756,214,4,-1036.294,14
7091.547,7882.36,215,4,-790.813,11
7488.627,8608.633,216,4,-1120.006,15
7367.279,8185.7,217,4,-818.421,11
7718.313,8998.24,218,4,-1279.927,17
7511.371,8868.75,219,4,-1357.379,18
7543.544,8600.436,220,4,-1056.892,14
7291.487,8492.744,221,4,-1201.257,16
7996.551,9253.361,222,4,-1256.81,16
7481.013,8365.184,223,4,-884.171,12
8071.546,8878.19,224,4,-806.644,10
7688.861,8651.058,225,4,-962.197,13
7859.474,9000.09,226,4,-1140.616,15
7783.186,8725.163,227,4,-941.977,12
8095.643,9553.161,228,4,-1457.518,18
7874.369,8965.585,229,4,-1091.216,14
7958.556,9649.674,230,4,-1691.118,21
7872.428,8910.867,231,4,-1038.439,13
7928.771,9328.44,232,4,-1399.669,18
7848.015,9315.973,233,4,-1467.958,19
8145.466,9548.864,234,4,-1403.398,17
8104.424,9643.078,235,4,-1538.654,19
8153.45,9450.729,236,4,-1297.279,16
8074.389,9385.775,237,4,-1311.386,16
8320.029,9727.404,238,4,-1407.375,17
8407.08,9692.266,239,4,-1285.186,15
8195.146,9469.416,240,4,-1274.27,16
8356.771,9474.601,241,4,-1117.83,13
8162.695,9173.347,242,4,-1010.652,12
8568.711,9451.021,243,4,-882.31,10
