esperado,obtenido,accuracy,tareas,maquinas
1169.357,2777.235,0.625,195,16
1159.709,2686.014,0.58125,196,16
1147.035,2814.189,0.56875,197,16
1197.298,3312.489,0.55,198,16
1214.971,3160.467,0.575,199,16
1203.202,2793.25,0.60625,200,16
1239.755,2842.036,0.5875,201,16
1264.866,2950.988,0.59375,202,16
1224.16,2790.375,0.6125,203,16
1261.291,3158.208,0.6,204,16
1231.166,3201.509,0.625,205,16
1261.184,3350.351,0.55625,206,16
1266.901,3819.13,0.5125,207,16
1276.755,3317.286,0.575,208,16
1224.969,3134.444,0.5875,209,16
1280.489,3195.949,0.5625,210,16
1321.162,3554.423,0.56875,211,16
1304.008,3082.93,0.6375,212,16
1311.121,3087.047,0.58125,213,16
1299.989,3474.385,0.5875,214,16
1325.685,3436.277,0.54375,215,16
1251.699,2938.412,0.54375,216,16
1348.309,3402.969,0.61875,217,16
1326.793,3193.632,0.56875,218,16
1352.439,3429.578,0.60625,219,16
1322.208,3465.478,0.55625,220,16
1306.812,3096.278,0.575,221,16
1307.519,2965.561,0.54375,222,16
1316.517,3644.411,0.6,223,16
1303.81,3439.132,0.6,224,16
1343.464,3276.338,0.60625,225,16
1393.173,3337.722,0.55,226,16
1378.759,3362.968,0.6125,227,16
1383.85,3516.04,0.575,228,16
1358.085,3489.439,0.625,229,16
1354.918,3308.459,0.55,230,16
1314.711,3119.02,0.60625,231,16
1330.758,3470.282,0.5125,232,16
1378.569,3559.621,0.58125,233,16
1335.91,2999.722,0.56875,234,16
1416.742,3390.719,0.55,235,16
1380.255,3530.835,0.56875,236,16
1405.414,3386.437,0.59375,237,16
1446.578,3635.417,0.6,238,16
1381.558,3774.273,0.5875,239,16
1406.47,3519.478,0.56875,240,16
1402.312,3562.021,0.5125,241,16
1388.169,3519.922,0.55,242,16
1436.98,3916.681,0.55,243,16
1414.705,3919.3,0.725,244,16
1476.562,4126.933,0.575,245,16
1439.861,3380.477,0.575,246,16
