esperado,obtenido,accuracy,tareas,maquinas
1147.035,1689.831,0.71875,197,16
1197.298,1862.164,0.68125,198,16
1214.971,1701.259,0.64375,199,16
1203.202,1862.799,0.74375,200,16
1239.755,1665.498,0.6625,201,16
1264.866,1871.487,0.6875,202,16
1224.16,1824.121,0.725,203,16
1261.291,1820.86,0.69375,204,16
1231.166,1675.788,0.7375,205,16
1261.184,1862.897,0.64375,206,16
1266.901,2104.734,0.63125,207,16
1276.755,1808.233,0.70625,208,16
1224.969,1865.779,0.69375,209,16
1280.489,1977.665,0.675,210,16
1321.162,1768.533,0.64375,211,16
1304.008,2005.73,0.725,212,16
1311.121,2121.16,0.69375,213,16
1299.989,1667.144,0.69375,214,16
1325.685,2051.315,0.7375,215,16
1251.699,1836.938,0.675,216,16
1348.309,1966.89,0.7375,217,16
1326.793,2009.627,0.7125,218,16
1352.439,1867.748,0.70625,219,16
1322.208,1833.543,0.6875,220,16
1306.812,1900.056,0.69375,221,16
1307.519,1943.418,0.73125,222,16
1316.517,1961.326,0.675,223,16
1303.81,1745.505,0.73125,224,16
1343.464,1979.425,0.7125,225,16
1393.173,1943.77,0.70625,226,16
1378.759,2011.647,0.76875,227,16
1383.85,1900.331,0.75625,228,16
1358.085,1960.631,0.76875,229,16
1354.918,1912.302,0.7,230,16
1314.711,1817.713,0.69375,231,16
1330.758,2178.298,0.63125,232,16
1378.569,2011.032,0.65625,233,16
1335.91,2009.283,0.71875,234,16
1416.742,2185.528,0.71875,235,16
1380.255,2047.479,0.73125,236,16
1405.414,2206.431,0.7125,237,16
1446.578,2110.963,0.71875,238,16
1381.558,1854.529,0.675,239,16
1406.47,1891.507,0.71875,240,16
1402.312,2239.962,0.675,241,16
1388.169,1968.437,0.6625,242,16
1436.98,2146.282,0.6875,243,16
1414.705,2033.243,0.7125,244,16
1476.562,2307.249,0.75625,245,16
1439.861,2073.692,0.7125,246,16
1420.032,2238.591,0.725,247,16
1349.547,1960.65,0.71875,248,16
1443.537,2110.511,0.71875,249,16
1456.407,2117.898,0.7375,250,16
1441.086,2066.057,0.73125,251,16
1457.213,2219.607,0.675,252,16
1449.774,1982.73,0.66875,253,16
1452.366,2096.601,0.7625,254,16
1505.206,2443.228,0.675,255,16
1517.968,2095.041,0.75625,256,16
1513.086,2283.647,0.7,257,16
1508.246,2189.55,0.65625,258,16
1481.804,2014.944,0.71875,259,16
1479.796,2196.154,0.75,260,16
1538.889,2057.223,0.73125,261,16
1535.021,2054.027,0.7375,262,16
1509.047,2388.514,0.68125,263,16
1497.934,2245.37,0.74375,264,16
1496.633,2222.942,0.725,265,16
1572.628,2177.401,0.7125,266,16
1561.777,2575.08,0.78125,267,16
1533.957,1981.477,0.65625,268,16
1565.944,2020.886,0.68125,269,16
1526.121,2231.86,0.775,270,16
1541.258,2266.041,0.6875,271,16
1554.71,2247.859,0.71875,272,16
1594.3,2252.729,0.7,273,16
1514.748,2275.954,0.69375,274,16
1612.29,2380.277,0.7,275,16
1592.332,2185.985,0.7125,276,16
1626.101,2649.737,0.725,277,16
1585.794,2576.702,0.725,278,16
1588.116,2230.366,0.7625,279,16
1552.611,2319.298,0.7875,280,16
1584.132,2411.409,0.75,281,16
1616.445,2294.062,0.7125,282,16
1586.472,2241.063,0.6875,283,16
1690.106,2508.571,0.76875,284,16
1595.678,2337.54,0.725,285,16
1691.771,2475.199,0.65625,286,16
1624.084,2312.008,0.7,287,16
1667.908,2682.658,0.70625,288,16
1670.368,2362.491,0.71875,289,16
1692.308,2496.273,0.7375,290,16
1689.114,2384.346,0.7,291,16
1644.866,2343.8,0.73125,292,16
1726.223,2591.713,0.73125,293,16
1723.997,2484.695,0.7125,294,16
1710.557,2251.724,0.79375,295,16
1683.763,2377.295,0.65,296,16
1678.665,2228.009,0.6625,297,16
1735.911,2505.193,0.64375,298,16
1686.052,2366.97,0.66875,299,16
1667.513,2402.325,0.7625,300,16
1721.563,2394.923,0.73125,301,16
1747.232,2562.703,0.75,302,16
1723.364,2580.923,0.70625,303,16
1672.14,2278.539,0.75625,304,16
1736.445,2826.126,0.775,305,16
1762.091,2567.488,0.7,306,16
1776.605,2576.941,0.68125,307,16
1739.087,2459.517,0.78125,308,16
1763.291,2470.726,0.7875,309,16
1722.684,2477.735,0.725,310,16
1712.007,2478.442,0.73125,311,16
1786.018,2486.843,0.71875,312,16
1751.382,2371.985,0.675,313,16
1830.963,2503.026,0.7,314,16
1767.288,2498.01,0.71875,315,16
1732.196,2555.841,0.73125,316,16
1778.808,2608.631,0.775,317,16
1776.946,2480.939,0.68125,318,16
1837.876,2577.731,0.75,319,16
1761.227,2762.001,0.71875,320,16
1787.428,2497.878,0.775,321,16
1842.098,2613.057,0.6875,322,16
1850.52,2509.182,0.71875,323,16
1844.3,2332.361,0.7375,324,16
1857.671,2600.381,0.74375,325,16
1875.948,2419.91,0.66875,326,16
1887.968,2832.67,0.73125,327,16
1864.875,2777.248,0.73125,328,16
1782.303,2599.43,0.66875,329,16
1789.757,2392.836,0.6875,330,16
1857.981,2692.633,0.83125,331,16
1866.777,2506.456,0.6875,332,16
1894.252,2711.48,0.65625,333,16
1898.42,2751.004,0.70625,334,16
1898.78,2756.955,0.75,335,16
1826.778,2858.97,0.7125,336,16
1833.721,2730.697,0.69375,337,16
1952.978,2755.675,0.76875,338,16
1889.096,2796.076,0.7125,339,16
1923.069,2798.346,0.675,340,16
1918.325,2550.05,0.70625,341,16
1892.672,2548.628,0.6875,342,16
1927.551,2511.76,0.7125,343,16
1916.454,2853.505,0.7375,344,16
1911.626,2640.845,0.71875,345,16
1951.981,2840.355,0.81875,346,16
1923.14,2904.512,0.6625,347,16
1915.538,2697.353,0.7375,348,16
1997.706,2769.474,0.7375,349,16
1976.193,2934.356,0.71875,350,16
1976.549,2721.627,0.74375,351,16
1989.092,2906.606,0.7625,352,16
1974.666,2876.691,0.71875,353,16
2031.769,2893.956,0.7125,354,16
1905.434,2807.308,0.78125,355,16
1982.717,2866.171,0.7125,356,16
1971.946,2651.811,0.75625,357,16
2030.674,2813.843,0.74375,358,16
2019.782,2996.649,0.75625,359,16
2011.251,2777.449,0.70625,360,16
1993.952,2733.195,0.74375,361,16
1955.978,2794.136,0.7625,362,16
1976.269,2855.716,0.75,363,16
2056.327,2914.603,0.6875,364,16
2050.657,2800.658,0.70625,365,16
2019.336,2944.715,0.65625,366,16
1954.474,2615.031,0.69375,367,16
2039.62,2775.198,0.7375,368,16
2081.258,3110.063,0.73125,369,16
1999.507,2757.552,0.71875,370,16
2087.286,2786.994,0.725,371,16
1979.998,2747.278,0.775,372,16
2065.693,3012.546,0.725,373,16
2090.078,2892.727,0.7,374,16
2094.128,2920.215,0.7,375,16
2103.515,3036.045,0.7375,376,16
2079.742,2920.449,0.675,377,16
2064.925,3124.36,0.7125,378,16
2081.512,2752.728,0.76875,379,16
2165.022,3122.62,0.64375,380,16
2131.517,3249.38,0.71875,381,16
2072.253,2794.306,0.68125,382,16
2088.846,2785.634,0.7375,383,16
