esperado,obtenido,accuracy,tareas,maquinas
1147.035,1453.294,0.675,197,16
1197.298,1659.226,0.64375,198,16
1214.971,1582.143,0.65625,199,16
1203.202,1619.989,0.65625,200,16
1239.755,1605.153,0.675,201,16
1264.866,1732.654,0.69375,202,16
1224.16,1724.01,0.74375,203,16
1261.291,1787.802,0.675,204,16
1231.166,1657.69,0.7,205,16
1261.184,1790.601,0.6875,206,16
1266.901,2098.386,0.6125,207,16
1276.755,1736.902,0.64375,208,16
1224.969,1891.728,0.6625,209,16
1280.489,1828.937,0.60625,210,16
1321.162,1697.952,0.61875,211,16
1304.008,1736.505,0.70625,212,16
1311.121,1763.309,0.65,213,16
1299.989,1701.981,0.70625,214,16
1325.685,1906.397,0.6625,215,16
1251.699,1672.283,0.61875,216,16
1348.309,1842.371,0.68125,217,16
1326.793,1784.259,0.6625,218,16
1352.439,1778.556,0.6875,219,16
1322.208,1822.963,0.65625,220,16
1306.812,1747.812,0.68125,221,16
1307.519,1797.316,0.65,222,16
1316.517,1757.133,0.66875,223,16
1303.81,1691.746,0.7,224,16
1343.464,1790.801,0.75,225,16
1393.173,1786.895,0.625,226,16
1378.759,1781.708,0.73125,227,16
1383.85,1897.501,0.71875,228,16
1358.085,1763.348,0.7125,229,16
1354.918,1846.263,0.66875,230,16
1314.711,1777.364,0.7125,231,16
1330.758,1827.239,0.64375,232,16
1378.569,2044.364,0.6875,233,16
1335.91,1999.113,0.68125,234,16
1416.742,2073.128,0.6875,235,16
1380.255,1936.669,0.675,236,16
1405.414,2082.833,0.675,237,16
1446.578,1970.594,0.68125,238,16
1381.558,1807.233,0.63125,239,16
1406.47,1850.166,0.675,240,16
1402.312,2098.406,0.61875,241,16
1388.169,1907.305,0.65,242,16
1436.98,1992.185,0.65625,243,16
1414.705,1975.399,0.7375,244,16
1476.562,1994.891,0.71875,245,16
1439.861,1984.42,0.675,246,16
1420.032,2121.2,0.7,247,16
1349.547,1967.818,0.6625,248,16
1443.537,2032.308,0.65625,249,16
1456.407,1940.889,0.675,250,16
1441.086,1853.899,0.725,251,16
1457.213,2051.115,0.65,252,16
1449.774,1911.411,0.65,253,16
1452.366,1963.261,0.71875,254,16
1505.206,2186.725,0.71875,255,16
1517.968,1974.367,0.70625,256,16
1513.086,2066.408,0.7,257,16
1508.246,2203.619,0.675,258,16
1481.804,2035.015,0.68125,259,16
1479.796,2010.493,0.6875,260,16
1538.889,2076.312,0.73125,261,16
1535.021,2114.073,0.69375,262,16
1509.047,1969.321,0.6875,263,16
1497.934,1977.533,0.70625,264,16
1496.633,2034.222,0.69375,265,16
1572.628,2244.035,0.6625,266,16
1561.777,2335.114,0.73125,267,16
1533.957,2004.689,0.6875,268,16
1565.944,2057.177,0.66875,269,16
1526.121,2085.034,0.75,270,16
1541.258,2157.486,0.68125,271,16
1554.71,2133.457,0.68125,272,16
1594.3,2153.461,0.64375,273,16
1514.748,1967.926,0.66875,274,16
1612.29,2128.746,0.68125,275,16
1592.332,2050.861,0.70625,276,16
1626.101,2107.541,0.675,277,16
1585.794,2264.555,0.625,278,16
1588.116,2117.587,0.66875,279,16
1552.611,2246.98,0.7375,280,16
1584.132,2112.323,0.70625,281,16
1616.445,2275.952,0.65625,282,16
1586.472,2077.858,0.675,283,16
1690.106,2315.063,0.75625,284,16
1595.678,2195.378,0.66875,285,16
1691.771,2266.943,0.65625,286,16
1624.084,2278.143,0.6625,287,16
1667.908,2484.999,0.7125,288,16
1670.368,2195.932,0.69375,289,16
1692.308,2213.014,0.725,290,16
1689.114,2239.984,0.6625,291,16
1644.866,2119.413,0.65625,292,16
1726.223,2440.389,0.7125,293,16
1723.997,2300.346,0.6625,294,16
1710.557,2364.641,0.775,295,16
1683.763,2085.582,0.63125,296,16
1678.665,2140.124,0.65625,297,16
1735.911,2411.776,0.66875,298,16
1686.052,2207.187,0.6375,299,16
1667.513,2261.327,0.75,300,16
1721.563,2412.999,0.70625,301,16
1747.232,2254.935,0.73125,302,16
1723.364,2317.712,0.7,303,16
1672.14,2306.409,0.7,304,16
1736.445,2482.082,0.71875,305,16
1762.091,2288.476,0.6875,306,16
1776.605,2265.418,0.675,307,16
1739.087,2365.16,0.75,308,16
1763.291,2273.682,0.725,309,16
1722.684,2284.353,0.63125,310,16
1712.007,2410.551,0.6875,311,16
