esperado,obtenido,accuracy,tareas,maquinas
1147.035,1761.99,0.7,197,16
1197.298,1848.494,0.65625,198,16
1214.971,1657.099,0.5875,199,16
1203.202,1790.097,0.69375,200,16
1239.755,2046.067,0.66875,201,16
1264.866,1781.911,0.68125,202,16
1224.16,1765.498,0.725,203,16
1261.291,1906.08,0.68125,204,16
1231.166,1847.986,0.70625,205,16
1261.184,1816.43,0.625,206,16
1266.901,2018.279,0.6375,207,16
1276.755,1771.472,0.63125,208,16
1224.969,1905.697,0.64375,209,16
1280.489,1932.899,0.65625,210,16
1321.162,1917.354,0.6,211,16
1304.008,1748.514,0.73125,212,16
1311.121,2055.675,0.66875,213,16
1299.989,1775.255,0.66875,214,16
1325.685,2066.889,0.71875,215,16
1251.699,1876.4,0.6875,216,16
1348.309,1862.273,0.69375,217,16
1326.793,1716.758,0.68125,218,16
1352.439,1996.423,0.68125,219,16
1322.208,1931.736,0.6875,220,16
1306.812,1864.468,0.69375,221,16
1307.519,1979.849,0.65625,222,16
1316.517,2015.047,0.65625,223,16
1303.81,1908.671,0.6625,224,16
1343.464,1795.668,0.68125,225,16
1393.173,2011.783,0.64375,226,16
1378.759,2069.461,0.71875,227,16
1383.85,1873.894,0.70625,228,16
1358.085,1873.965,0.7875,229,16
1354.918,1924.271,0.6875,230,16
1314.711,1957.651,0.64375,231,16
1330.758,2063.596,0.64375,232,16
1378.569,2178.819,0.65,233,16
1335.91,2101.244,0.675,234,16
1416.742,2319.001,0.675,235,16
1380.255,2036.47,0.65625,236,16
1405.414,1973.651,0.64375,237,16
1446.578,2101.256,0.66875,238,16
1381.558,2069.814,0.65625,239,16
1406.47,2270.842,0.69375,240,16
1402.312,2217.208,0.66875,241,16
1388.169,1819.209,0.6125,242,16
1436.98,1993.438,0.6375,243,16
1414.705,1987.666,0.725,244,16
1476.562,2123.525,0.675,245,16
1439.861,2300.201,0.65625,246,16
1420.032,2162.742,0.65625,247,16
1349.547,1867.508,0.69375,248,16
1443.537,2050.767,0.64375,249,16
1456.407,2083.002,0.70625,250,16
1441.086,2074.485,0.7,251,16
1457.213,2075.875,0.625,252,16
1449.774,1995.656,0.65625,253,16
1452.366,2098.087,0.6625,254,16
1505.206,2231.644,0.65625,255,16
1517.968,2574.889,0.6375,256,16
1513.086,2032.846,0.725,257,16
1508.246,2114.928,0.66875,258,16
1481.804,2256.901,0.65,259,16
1479.796,2289.762,0.74375,260,16
1538.889,2116.535,0.71875,261,16
1535.021,2165.752,0.69375,262,16
1509.047,2130.74,0.625,263,16
1497.934,2084.591,0.6875,264,16
1496.633,1995.996,0.71875,265,16
1572.628,2262.736,0.65625,266,16
1561.777,2254.467,0.66875,267,16
1533.957,2179.208,0.65625,268,16
1565.944,2035.498,0.675,269,16
1526.121,2031.483,0.7625,270,16
1541.258,2176.807,0.6625,271,16
1554.71,2155.853,0.66875,272,16
1594.3,2252.22,0.6625,273,16
1514.748,2004.898,0.66875,274,16
1612.29,2108.279,0.70625,275,16
1592.332,2434.231,0.675,276,16
1626.101,2398.741,0.69375,277,16
1585.794,2085.562,0.69375,278,16
1588.116,2127.796,0.68125,279,16
1552.611,2254.911,0.71875,280,16
1584.132,2260.232,0.70625,281,16
1616.445,2136.14,0.65625,282,16
1586.472,2297.908,0.675,283,16
1690.106,2478.934,0.70625,284,16
1595.678,2358.773,0.66875,285,16
1691.771,2329.093,0.675,286,16
1624.084,2311.93,0.6125,287,16
1667.908,2577.404,0.75625,288,16
1670.368,2331.724,0.7,289,16
1692.308,2370.865,0.69375,290,16
1689.114,2418.569,0.6875,291,16
1644.866,2338.3,0.66875,292,16
1726.223,2213.692,0.70625,293,16
1723.997,2638.63,0.6625,294,16
1710.557,2510.905,0.7875,295,16
1683.763,2295.737,0.59375,296,16
1678.665,2156.778,0.64375,297,16
1735.911,2520.731,0.65,298,16
1686.052,2469.276,0.63125,299,16
1667.513,2148.406,0.73125,300,16
1721.563,2384.636,0.7125,301,16
1747.232,2881.478,0.725,302,16
1723.364,2334.926,0.675,303,16
1672.14,2481.988,0.7,304,16
1736.445,2483.968,0.73125,305,16
1762.091,2281.638,0.675,306,16
1776.605,2571.213,0.65625,307,16
1739.087,2413.375,0.73125,308,16
1763.291,2459.661,0.6875,309,16
1722.684,2278.396,0.63125,310,16
1712.007,2262.159,0.68125,311,16
1786.018,2274.114,0.6625,312,16
1751.382,2553.848,0.6125,313,16
1830.963,2531.084,0.6625,314,16
1767.288,2332.218,0.69375,315,16
1732.196,2407.458,0.7,316,16
1778.808,2563.273,0.7375,317,16
1776.946,2948.182,0.64375,318,16
1837.876,2556.137,0.74375,319,16
1761.227,2538.843,0.69375,320,16
1787.428,2279.903,0.725,321,16
1842.098,2594.501,0.7,322,16
1850.52,2571.985,0.65625,323,16
1844.3,2537.34,0.6875,324,16
1857.671,2599.808,0.7,325,16
1875.948,2733.899,0.64375,326,16
1887.968,2396.589,0.69375,327,16
1864.875,2721.614,0.68125,328,16
1782.303,2475.963,0.60625,329,16
1789.757,2486.4,0.65625,330,16
1857.981,2722.447,0.7125,331,16
1866.777,2668.548,0.66875,332,16
1894.252,2568.703,0.6375,333,16
1898.42,2755.617,0.625,334,16
1898.78,2542.114,0.71875,335,16
1826.778,2443.232,0.66875,336,16
1833.721,2598.665,0.6625,337,16
1952.978,2523.255,0.7125,338,16
1889.096,2554.894,0.6625,339,16
1923.069,2886.083,0.6625,340,16
1918.325,2542.278,0.66875,341,16
1892.672,2552.153,0.7,342,16
1927.551,2524.322,0.675,343,16
1916.454,2630.719,0.725,344,16
1911.626,2725.258,0.71875,345,16
1951.981,2719.821,0.6875,346,16
1923.14,2855.942,0.5875,347,16
1915.538,2585.618,0.7125,348,16
1997.706,2925.77,0.65625,349,16
1976.193,3007.673,0.65,350,16
1976.549,2571.631,0.64375,351,16
1989.092,2828.447,0.7375,352,16
1974.666,2692.279,0.65,353,16
2031.769,2933.637,0.65625,354,16
1905.434,2708.522,0.7125,355,16
1982.717,2732.469,0.6875,356,16
1971.946,2739.648,0.65625,357,16
2030.674,2681.831,0.6375,358,16
2019.782,2696.753,0.69375,359,16
2011.251,2742.774,0.69375,360,16
1993.952,2806.484,0.7125,361,16
1955.978,2423.417,0.69375,362,16
1976.269,2727.458,0.75625,363,16
2056.327,2561.351,0.65625,364,16
2050.657,2809.732,0.6375,365,16
2019.336,2808.118,0.6125,366,16
1954.474,2866.879,0.66875,367,16
2039.62,2619.521,0.69375,368,16
2081.258,2777.187,0.73125,369,16
1999.507,2748.67,0.68125,370,16
2087.286,2886.193,0.66875,371,16
1979.998,2463.597,0.7,372,16
2065.693,2836.699,0.66875,373,16
2090.078,2951.569,0.6,374,16
2094.128,2903.396,0.66875,375,16
